route_id,source,source_country,load_port,region,primary_discharge_port,approach,vessel_class,distance_nm,distance_km,transit_days,chokepoint,chokepoint_primary,chokepoints_all,hormuz_dependent,cost_usd_per_barrel,capacity_kbd
R001,Oman (Duqm),Oman,Duqm,Arabian Sea,Mangalore,west,Suezmax,1420,2630,7,none,none,none,0,73.10,60
R002,Oman (Mina al Fahal),Oman,Mina al Fahal,Arabian Sea,Jamnagar,west,VLCC,730,1352,4,none,none,none,0,72.46,240
R003,Australia (North West Shelf),Australia,North West Shelf,Asia-Pacific,Jamnagar,west,Aframax,4050,7501,14,none,none,none,0,78.52,40
R004,Malaysia (Kimanis),Malaysia,Kimanis,Asia-Pacific,Chennai,east,Aframax,2250,4167,9,malacca,malacca,malacca,0,76.89,45
R005,Brazil (Angra dos Reis (Buzios)),Brazil,Angra dos Reis (Buzios),Latin America,Vadinar,west,VLCC,7850,14538,28,cape_of_good_hope,cape_of_good_hope,cape_of_good_hope,0,70.88,110
R006,Brazil (Tupi FPSO),Brazil,Tupi FPSO,Latin America,Jamnagar,west,VLCC,7750,14353,28,cape_of_good_hope,cape_of_good_hope,cape_of_good_hope,0,71.15,190
R007,Colombia (Covenas),Colombia,Covenas,Latin America,Paradip,west,Suezmax,12000,22224,41,cape_of_good_hope,cape_of_good_hope,cape_of_good_hope,0,66.72,90
R008,Ecuador (Esmeraldas),Ecuador,Esmeraldas,Latin America,Jamnagar,west,Suezmax,10900,20187,38,cape_of_good_hope,cape_of_good_hope,cape_of_good_hope,0,68.75,50
R009,Guyana (Liza FPSO),Guyana,Liza FPSO,Latin America,Jamnagar,west,Suezmax,9000,16668,31,cape_of_good_hope,cape_of_good_hope,cape_of_good_hope,0,75.70,140
R010,Venezuela (Jose),Venezuela,Jose,Latin America,Jamnagar,west,VLCC,9800,18150,35,cape_of_good_hope,cape_of_good_hope,cape_of_good_hope,0,59.71,250
R011,Algeria (Skikda),Algeria,Skikda,North Africa,Jamnagar,west,Suezmax,5200,9630,18,suez|bab_el_mandeb,suez,suez|bab_el_mandeb,0,78.43,60
R012,Libya (Es Sider),Libya,Es Sider,North Africa,Jamnagar,west,Suezmax,4750,8797,16,suez|bab_el_mandeb,suez,suez|bab_el_mandeb,0,76.66,60
R013,Libya (Zueitina),Libya,Zueitina,North Africa,Vadinar,west,Suezmax,4700,8704,16,suez|bab_el_mandeb,suez,suez|bab_el_mandeb,0,77.24,30
R014,Canada (Vancouver (TMX)),Canada,Vancouver (TMX),North America,Paradip,east,Aframax,8050,14909,27,malacca,malacca,malacca,0,65.03,70
R015,Mexico (Cayo Arcas),Mexico,Cayo Arcas,North America,Jamnagar,west,VLCC,11000,20372,39,cape_of_good_hope,cape_of_good_hope,cape_of_good_hope,0,65.52,120
R016,USA (Beaumont),USA,Beaumont,North America,Mundra,west,Suezmax,11100,20557,37,cape_of_good_hope,cape_of_good_hope,cape_of_good_hope,0,75.95,60
R017,USA (Corpus Christi),USA,Corpus Christi,North America,Jamnagar,west,VLCC,11050,20465,39,cape_of_good_hope,cape_of_good_hope,cape_of_good_hope,0,74.51,300
R018,USA (Houston (HSC)),USA,Houston (HSC),North America,Vadinar,west,VLCC,11035,20437,39,cape_of_good_hope,cape_of_good_hope,cape_of_good_hope,0,74.20,180
R019,USA (LOOP (Louisiana)),USA,LOOP (Louisiana),North America,Paradip,west,VLCC,12950,23983,45,cape_of_good_hope,cape_of_good_hope,cape_of_good_hope,0,71.69,110
R020,Norway (Mongstad),Norway,Mongstad,North Sea,Jamnagar,west,Suezmax,6650,12316,25,suez|bab_el_mandeb,suez,suez|bab_el_mandeb,0,75.11,60
R021,Iraq (Basrah Oil Terminal),Iraq,Basrah Oil Terminal,Persian Gulf,Jamnagar,west,VLCC,1420,2630,7,hormuz,hormuz,hormuz,1,69.73,900
R022,Iraq (Ceyhan (ITP pipeline)),Iraq,Ceyhan (ITP pipeline),Persian Gulf,Vadinar,west,Suezmax,3600,6667,15,suez|bab_el_mandeb,suez,suez|bab_el_mandeb,0,73.36,70
R023,Iraq (Khor al-Amaya),Iraq,Khor al-Amaya,Persian Gulf,Paradip,west,VLCC,3500,6482,14,hormuz,hormuz,hormuz,1,67.87,380
R024,Kuwait (Al-Zour),Kuwait,Al-Zour,Persian Gulf,Mundra,west,VLCC,1450,2685,7,hormuz,hormuz,hormuz,1,70.02,180
R025,Kuwait (Mina al-Ahmadi),Kuwait,Mina al-Ahmadi,Persian Gulf,Jamnagar,west,VLCC,1400,2593,7,hormuz,hormuz,hormuz,1,69.99,480
R026,Kuwait (Ras al-Khafji (Neutral Zone)),Kuwait,Ras al-Khafji (Neutral Zone),Persian Gulf,Vadinar,west,VLCC,1400,2593,7,hormuz,hormuz,hormuz,1,68.50,90
R027,Qatar (Halul Island),Qatar,Halul Island,Persian Gulf,Jamnagar,west,VLCC,1130,2093,6,hormuz,hormuz,hormuz,1,71.68,70
R028,Qatar (Ras Laffan),Qatar,Ras Laffan,Persian Gulf,Jamnagar,west,Suezmax,1160,2148,6,hormuz,hormuz,hormuz,1,76.42,50
R029,Saudi Arabia (Ju'aymah),Saudi Arabia,Ju'aymah,Persian Gulf,Vadinar,west,VLCC,1300,2408,7,hormuz,hormuz,hormuz,1,71.36,250
R030,Saudi Arabia (Muajjiz),Saudi Arabia,Muajjiz,Persian Gulf,Paradip,west,VLCC,4200,7778,18,bab_el_mandeb,bab_el_mandeb,bab_el_mandeb,0,70.54,80
R031,Saudi Arabia (Ras Tanura),Saudi Arabia,Ras Tanura,Persian Gulf,Jamnagar,west,VLCC,1184,2193,7,hormuz,hormuz,hormuz,1,72.45,700
